Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
295;038;Picea;omorika; -;Serbische Fichte;15;3;78;N;73012;346720;14,3157754403759;48,2545698191731
266;512;Betula;pendula; -;Weiﬂ-Birke;22;7;148;L;72832;355800;14,3149099674890;48,3362399709342
266;653;Betula;pendula; -;Weiﬂ-Birke;18;5;59;L;73002;355818;14,3172035509031;48,3363769662119
1282;033;Populus;sp.; -;Pappel;10;8;94;L;70057;346358;14,2759289507273;48,2516521000085
1282;036;Betula;sp.; -;Birke;17;7;104;L;70079;346358;14,2762175296986;48,2516497408911
266;673;Betula;pendula; -;Weiﬂ-Birke;17;5;75;L;72935;355831;14,3162981332702;48,3365024475589
266;697;Populus;sp.; -;Pappel;20;7;87;L;72856;355831;14,3152382793166;48,3365111998131
666;062;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;20;12;142;L;70685;354847;14,2857872043342;48,3279102130700
666;065;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;19;12;138;L;70704;354870;14,2860488911448;48,3281189886672
205;002;Betula;pendula; -;Weiﬂ-Birke;12;8;140;L;70947;348306;14,2882303413449;48,2690660203500
205;006;Betula;pendula; -;Weiﬂ-Birke;15;10;160;L;70934;348312;14,2880605937259;48,2691222776002
688;007;Pinus;sp.; -;Kiefer / Fˆhre;12;9;190;N;71282;354291;14,2937453940107;48,3228458080822
205;008;Acer;platanoides; -;Spitz-Ahorn;15;10;170;L;70920;348294;14,2878708938861;48,2689651543730
205;046;Picea;omorika; -;Serbische Fichte;8;4;80;N;70931;348207;14,2880041079574;48,2681778582189
351;032;Tilia;cordata; -;Winter-Linde;8;7;140;L;72686;351815;14,3122530774468;48,3004218823791
351;033;Tilia;cordata; -;Winter-Linde;7;8;150;L;72684;351820;14,3122269812840;48,3004670699649
708;013;Tilia;cordata; -;Winter-Linde;17;12;208;L;71140;351484;14,2913624918152;48,2976205500130
708;014;Aesculus;hippocastanum; -;Gemeine Rosskastanie;16;14;226;L;71143;351483;14,2914027521352;48,2976112223729
708;014a;Magnolia;sp.; -;Magnolie;6;5;40;L;71135;351475;14,2912936019379;48,2975401832822
313;021;Acer;platanoides; -;Spitz-Ahorn;17;13;166;L;72580;351029;14,3106900155849;48,2933664665632
313;022;Acer;platanoides; -;Spitz-Ahorn;14;10;114;L;72576;351031;14,3106364584907;48,2933849068821
311;001;Prunus;cerasifera;Nigra;Blut-Pflaume;7;7;50;L;72384;351910;14,3082007245524;48,3013136964474
311;005;Prunus;Zierform; -;Zier-Kirsche;12;15;184;L;72380;351893;14,3081425249029;48,3011581699881
