Anlage;Name;Bereich;Bezirksnummer;Bezirksname;Stadtteil;Art;URL;Koordinaten;Straße;Postleitzahl;Ort;Koordinate Nord;Koordinate Ost;Google-Maps Link
Spielanlage;Kinderspielplatz St. Magdalena;St. Magdalena;4;St. Magdalena;Urfahr;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5809.php;POINT (14.304763 48.336233);;;;48 336 233;14 304 763;https://www.google.at/maps/place/48.336233,14.304763
Spielanlage;Kinder- und Jugendspielplatz Donaulände;Donaulände;6;Kaplanhof;Zentrum;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5773.php;POINT (14.294473 48.312577);;;;48 312 577;14 294 473;https://www.google.at/maps/place/48.312577,14.294473
Spielanlage;Kinderspielplatz Eisenhandstraße;Eisenhandstraße;1;Innere Stadt;Zentrum;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5797.php;POINT (14.298607 48.30301);;;;48 303 155;14 298 579;https://www.google.at/maps/place/48.303155,14.298579
Spielanlage;Kinderspielplatz Hessenplatz;Hessenplatz;1;Innere Stadt;Zentrum;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5794.php;POINT (14.294382 48.300527);;;;48 300 444;14 294 427;https://www.google.at/maps/place/48.300444,14.294427
Spielanlage;Kinder- und Jugendspielplatz Honauerstraße;Honauerstraße;1;Innere Stadt;Zentrum;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5689.php;POINT (14.295897 48.309418);;;;48 309 418;14 295 897;https://www.google.at/maps/place/48.309418,14.295897
Spielanlage;Jugendspielplatz Jugendpoint;Donaulände;6;Kaplanhof;Zentrum;Jugendspielplatz (12 - 18 Jahre);https://www.linz.at/soziales/48079.php;;;;;48 315 932;14 297 243;https://www.google.at/maps/place/48.315932,14.297243
Spielanlage;Kinderspielplatz Körnerstraße;Körnerstraße;6;Kaplanhof;Zentrum;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5791.php;POINT (14.302159 48.305498);;;;48 305 740;14 302 388;https://www.google.at/maps/place/48.305740,14.302388
Spielanlage;Kinder- und Jugendspielplatz Lederergasse-Europaspielplatz;Lederergasse/Europaschule;1;Innere Stadt;Zentrum;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5686.php;POINT (14.297917 48.309333);;;;48 309 544;14 297 844;https://www.google.at/maps/place/48.309544,14.297844
Spielanlage;Kinder- und Jugendspielplatz Prunerstift;Prunerstift;1;Innere Stadt;Zentrum;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5677.php;POINT (14.292215 48.3072);Stefan-Fechter-Weg 9;4020;Linz;48 307 692;14 292 498;https://www.google.at/maps/place/48.307692,14.292498
Spielanlage;Kinder- und Jugendspielplatz Schiffbaustraße;Schiffbaustraße;6;Kaplanhof;Zentrum;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5674.php;POINT (14.307223 48.317363);Schiffbaustraße 7;4020;Linz;48 317 647;14 307 320;https://www.google.at/maps/place/48.317647,14.307320
Spielanlage;Kinder- und Jugendspielplatz Stadtpark;Stadtpark;1;Innere Stadt;Zentrum;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5782.php;POINT (14.297457 48.305655);;;;48 305 564;14 297 099;https://www.google.at/maps/place/48.305564,14.297099
Spielanlage;Kinderspielplatz Am Rosenhang-Freinberg;Am Rosenhang-Freinberg;9;Froschberg;Freinberg, Bauernberg und Froschberg;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5875.php;POINT (14.263714 48.304016);;;;48 304 016;14 263 714;https://www.google.at/maps/place/48.304016,14.263714
Spielanlage;Kinder- und Jugendspielplatz - Auf der Gugl Bauernberg;Auf der Gugl Bauernberg;9;Froschberg;Freinberg, Bauernberg und Froschberg;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5854.php;POINT (14.280254 48.294529);;;;48 294 478;14 279 622;https://www.google.at/maps/place/48.294478,14.279622
